sha8,specialty,formType,kind,bytes,host,engine,query,title,url,path
"bf6a4b1f","amc-mixed","new-patient-intake","pdf","173476","my.clevelandclinic.org","google-amc-manual","","","https://my.clevelandclinic.org/-/scassets/files/org/locations/union-hospital/guest-services/new-patient-intake-form.pdf?la=en","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__my-clevelandclinic-org__bf6a4b1f6d.pdf"
"62b6fe7b","amc-mixed","new-patient-intake","pdf","214688","stanfordhealthcare.org","google-amc-manual","","","https://stanfordhealthcare.org/content/dam/SHC/for-patients-component/orthopaedics-and-sports-medicine/docs/ortho-new-patient-intake-form-final-11.2020.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__stanfordhealthcare-org__62b6fe7b58.pdf"
"9084c00c","amc-mixed","new-patient-intake","pdf","95504","stanfordhealthcare.org","google-amc-manual","","","https://stanfordhealthcare.org/content/dam/SHC/for-patients-component/interventional-radiology-clinic/docs/pdf-dvtdemographicsform.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__stanfordhealthcare-org__9084c00c76.pdf"
"23d03c90","amc-mixed","new-patient-intake","pdf","96509","stanfordhealthcare.org","google-amc-manual","","","https://stanfordhealthcare.org/content/dam/SHC/for-patients-component/interventional-radiology-clinic/docs/pdf-ivcfilterdemographicsform.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__stanfordhealthcare-org__23d03c9086.pdf"
"28b59933","amc-mixed","new-patient-intake","pdf","92578","stanfordhealthcare.org","google-amc-manual","","","https://stanfordhealthcare.org/content/dam/SHC/for-patients-component/interventional-radiology-clinic/docs/pdf-demographicsform.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__stanfordhealthcare-org__28b5993359.pdf"
"280c05fd","amc-mixed","new-patient-intake","pdf","523021","stanfordhealthcare.org","google-amc-manual","","","https://stanfordhealthcare.org/content/dam/SHC/clinics/valleycare-physicians-associates/docs/new-patient-gyn-q-vcpa-v11-19-18.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__stanfordhealthcare-org__280c05fd62.pdf"
"47e2b5b0","amc-mixed","new-patient-intake","pdf","102845","stanfordhealthcare.org","google-amc-manual","","","https://stanfordhealthcare.org/content/dam/SHC/for-patients-component/fibroid-center/docs/demographicsformfibroid-center.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-mixed__new-patient-intake__stanfordhealthcare-org__47e2b5b000.pdf"
"1c40b6cf","amc-multi","new-patient-intake","pdf","296597","nyulangone.org","google","","","https://nyulangone.org/files/fresco-new-patient-intake-questionnaire.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__nyulangone-org__1c40b6cfc3.pdf"
"a013f391","amc-multi","new-patient-intake","pdf","2026422","nyulangone.org","google","","","https://nyulangone.org/files/fresco-new-patient-intake-questionnaire-6-21.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__nyulangone-org__a013f391b6.pdf"
"a280acf2","amc-multi","new-patient-intake","pdf","2610899","nyulangone.org","google","","","https://nyulangone.org/files/fresco-new-patient-intake-questionnaire-9-22.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__nyulangone-org__a280acf22f.pdf"
"f4c7adf7","amc-multi","new-patient-intake","pdf","738491","nyulangone.org","google","","","https://nyulangone.org/files/New_Patient_Forms_updated_Oct_2013_0.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__nyulangone-org__f4c7adf71b.pdf"
"51b5997d","amc-multi","new-patient-intake","pdf","132416","hopkinsmedicine.org","google","","","https://www.hopkinsmedicine.org/-/media/psychiatry/documents/schizophrenia/patient_demographic_consultation_fillable_form.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__hopkinsmedicine-org__51b5997df6.pdf"
"8936e492","amc-multi","new-patient-intake","pdf","1295205","nyulangone.org","google","","","https://nyulangone.org/files/new-patient-forms-dr-gilbert-dr-nirenberg-dr-brys-dr-fleisher.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__nyulangone-org__8936e49277.pdf"
"bfa71fcb","amc-multi","new-patient-intake","pdf","328877","dam.upmc.com","google","","","https://dam.upmc.com/-/media/upmc/locations/hospitals/jameson/documents/services/bariatrics/jameson-bariatrics-new-patient-health-history.pdf?la=en&rev=1ade1ecf84714b9b9a1e3d7cb0eb44ae&hash=FA6E87CFFF490DE9BC8D9ED3FE482A9B","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__dam-upmc-com__bfa71fcb0a.pdf"
"e5a41d8c","amc-multi","new-patient-intake","pdf","1638915","nyulangone.org","google","","","https://nyulangone.org/files/NYUCI-Summer-2012.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__nyulangone-org__e5a41d8cb8.pdf"
"e8f668af","amc-multi","new-patient-intake","pdf","130389","brighamandwomens.org","google","","","https://www.brighamandwomens.org/assets/BWH/neurosurgery/pdfs/new-patient--ntake-form-bwh.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__brighamandwomens-org__e8f668afcc.pdf"
"7ffc8787","amc-multi","new-patient-intake","pdf","201571","massgeneral.org","google","","","https://www.massgeneral.org/assets/MGH/pdf/dermatology/adult-dermatology-new-patient-form.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__massgeneral-org__7ffc878738.pdf"
"26fda075","amc-multi","new-patient-intake","pdf","4053674","markvcid.partners.org","google","","","https://markvcid.partners.org/sites/default/files/external/protocols/MarkVCID_OCTA_Acquisition_Instructions_v9_1.16.21_Final.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__markvcid-partners-org__26fda0757b.pdf"
"e4c5998d","amc-multi","new-patient-intake","pdf","4665173","corporate.dukehealth.org","google","","","https://corporate.dukehealth.org/sites/default/files/2020-02/DUHS%2C%20INC.%20FORM%20990%20%26%20990-T%20FYE%206-30-18_compressed.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__corporate-dukehealth-org__e4c5998d54.pdf"
"e25b782c","amc-multi","new-patient-intake","pdf","225662","massgeneral.org","google","","","https://www.massgeneral.org/assets/MGH/pdf/medicine/allergy/MGH-Boston-New-Patient-Packet.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__massgeneral-org__e25b782cfa.pdf"
"d189cb7c","amc-multi","new-patient-intake","pdf","155772","brighamandwomens.org","google","","","https://www.brighamandwomens.org/assets/BWH/neurology/pdfs/brain-mind-medicine-new-patient-forms-bwh.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__brighamandwomens-org__d189cb7c50.pdf"
"42cf83a1","amc-multi","new-patient-intake","pdf","164595","massgeneral.org","google","","","https://www.massgeneral.org/assets/MGH/pdf/dermatology/hrscc-new-patient-form.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__massgeneral-org__42cf83a13d.pdf"
"904bce58","amc-multi","new-patient-intake","pdf","269418","massgeneral.org","google","","","https://www.massgeneral.org/assets/MGH/pdf/vascular-center/mass-general-vein-care-stoneham/Stoneham_New_Patient_Packet.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__massgeneral-org__904bce583d.pdf"
"f7764f43","amc-multi","new-patient-intake","pdf","629378","brighamandwomens.org","google","","","https://www.brighamandwomens.org/assets/BWH/medicine/allergy-clinical-immunology/pdfs/aerd-new-patient-intake-form.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__brighamandwomens-org__f7764f43a6.pdf"
"4f6be397","amc-multi","new-patient-intake","pdf","223015","brighamandwomens.org","google","","","https://www.brighamandwomens.org/assets/BWH/medicine/allergy-clinical-immunology/pdfs/pediatric-new-patient-form.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__brighamandwomens-org__4f6be3974c.pdf"
"10f4ff96","amc-multi","new-patient-intake","pdf","4053546","markvcid.partners.org","google","","","https://markvcid.partners.org/drupal/sites/default/files/SiteFiles/1_results/MarkVCID_OCTA_Acquisition_Instructions_v9_1.16.21_Final2.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__markvcid-partners-org__10f4ff96aa.pdf"
"514faa41","amc-multi","new-patient-intake","pdf","1231376","dukehealth.org","google","","","https://www.dukehealth.org/sites/default/files/2021-07/Allogeneic%20Handbook%204.2021%5B2%5D%5B40%5D.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/amc-multi__new-patient-intake__dukehealth-org__514faa413e.pdf"
"0017333e","alcohol","prom","pdf","332652","anthc.org","bing","AUDIT-C filetype:pdf","","https://www.anthc.org/wp-content/uploads/2025/07/Audit-C.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__anthc-org__0017333e2a.pdf"
"d5bfa2c8","alcohol","prom","pdf","59004","kapextmediassl-a.akamaihd.net","bing","AUDIT-C filetype:pdf","","https://kapextmediassl-a.akamaihd.net/nursing/MN667/MN667_2103C/AUDIT-C.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__kapextmediassl-a-akamaihd-net__d5bfa2c8db.pdf"
