sha8,specialty,formType,kind,bytes,host,engine,query,title,url,path
"9209e71b","alcohol","prom","pdf","63825","wa-provider.kaiserpermanente.org","bing","AUDIT-C filetype:pdf","","https://wa-provider.kaiserpermanente.org/static/pdf/provider/patient-ed/screenings/auditcAlcohol.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__wa-provider-kaiserpermanente-o__9209e71b17.pdf"
"a381f6b5","alcohol","prom","pdf","152266","uploads.teachablecdn.com","bing","AUDIT-C filetype:pdf","","https://uploads.teachablecdn.com/attachments/BvqK1sS1Siql71NsjW9r_AUDIT-C.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__uploads-teachablecdn-com__a381f6b54c.pdf"
"788127eb","alcohol","prom","pdf","271293","mentalhealth.va.gov","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://www.mentalhealth.va.gov/coe/cih-visn2/Documents/Provider_Education_Handouts/AUDIT-C_Version_3.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__mentalhealth-va-gov__788127ebf9.pdf"
"0bc8c976","alcohol","prom","pdf","35709","oregon.gov","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://www.oregon.gov/oha/HSD/AMH/docs/AUDIT-C.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__oregon-gov__0bc8c9760e.pdf"
"66fb683a","alcohol","prom","pdf","103254","integrationacademy.ahrq.gov","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://integrationacademy.ahrq.gov/sites/default/files/2020-07/AUDIT-C.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__integrationacademy-ahrq-gov__66fb683a30.pdf"
"0aa9fc15","alcohol","prom","pdf","54886","providerlibrary.healthnetcalifornia.com","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://providerlibrary.healthnetcalifornia.com/content/dam/centene/healthnet/pdfs/providerlibrary/30818-AUDIT-C%20-%20English.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__providerlibrary-healthnetcalif__0aa9fc1587.pdf"
"6b41b0ae","alcohol","prom","pdf","35687","bpac.org.nz","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://bpac.org.nz/BPJ/2010/June/docs/addiction_AUDIT-C.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__bpac-org-nz__6b41b0ae0e.pdf"
"70cc8ad2","alcohol","prom","pdf","395056","omnifamilyhealth.org","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://omnifamilyhealth.org/wp-content/uploads/2025/08/Adults_Seniors_New_Patient_Clinical_Forms-Combined.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__omnifamilyhealth-org__70cc8ad23c.pdf"
"56e70ea8","alcohol","prom","pdf","785443","deploymentpsych.org","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://deploymentpsych.org/system/files/member_resource/AUDIT_C_scoring_Final_0.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__deploymentpsych-org__56e70ea89a.pdf"
"7ed1c4be","alcohol","prom","pdf","53654","bpac.org.nz","brave","""AUDIT-C"" alcohol use filetype:pdf","","https://bpac.org.nz/magazine/2010/june/docs/addiction_all_screening_tools_web.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__bpac-org-nz__7ed1c4be9c.pdf"
"5f477a5b","society-aafp","prom","pdf","288564","public.powerdms.com","brave","""AAFP"" patient screening filetype:pdf","","https://public.powerdms.com/PHC/documents/1858150","/home/jmandel/hobby/intake-forms/raw/pdf/society-aafp__prom__public-powerdms-com__5f477a5b16.pdf"
"aa7e8f54","society-aafp","prom","pdf","460358","ldh.la.gov","brave","""AAFP"" patient screening filetype:pdf","","https://ldh.la.gov/assets/oph/Center-PHCH/Center-PH/maternal/PPCL/SocialNeeds_ScreeningTool_PatientLongVersion.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/society-aafp__prom__ldh-la-gov__aa7e8f5418.pdf"
"b8f4b0a1","alcohol","prom","pdf","89735","fideliscare.org","brave","""CAGE"" alcohol filetype:pdf","","https://www.fideliscare.org/Portals/0/Providers/ProviderManuals/Appendices/Appendix-IV-Cage-A-Instrument-Alcoholism-Screening.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__fideliscare-org__b8f4b0a12f.pdf"
"00db8705","alcohol","prom","pdf","213351","pedagogyeducation.com","brave","""CAGE"" alcohol filetype:pdf","","https://pedagogyeducation.com/getmedia/4bbe5bd7-2e94-4311-a92e-4f26dbc2b47f/CAGE-Questionnaire.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__pedagogyeducation-com__00db870557.pdf"
"b5a89ee7","society-aafp","prom","pdf","353485","medicine.tulane.edu","brave","""AAFP"" patient screening filetype:pdf","","https://medicine.tulane.edu/sites/default/files/pictures/Everyone-long-print_social_needs.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/society-aafp__prom__medicine-tulane-edu__b5a89ee757.pdf"
"91ba7b69","alcohol","prom","pdf","173434","apps.nhslothian.scot","brave","""CAGE"" alcohol filetype:pdf","","https://apps.nhslothian.scot/files/sites/2/Alcohol-Screening.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/alcohol__prom__apps-nhslothian-scot__91ba7b696e.pdf"
"27b14ab5","addiction","prom","pdf","547353","sbirt.care","bing","""DAST-10"" drug abuse screening filetype:pdf","","https://sbirt.care/pdfs/tools/DAST.PDF","/home/jmandel/hobby/intake-forms/raw/pdf/addiction__prom__sbirt-care__27b14ab5dd.pdf"
"7f77ec38","sleep-apnea","prom","pdf","53793","statecollegedentalsleepmedicine.com","bing","STOP-BANG questionnaire filetype:pdf","","https://www.statecollegedentalsleepmedicine.com/assets/docs/StopBang_Questionnaire1.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/sleep-apnea__prom__statecollegedentalsleepmedicin__7f77ec38a9.pdf"
"e3fb5b88","psychology","intake","pdf","40899","apa.org","mine-page","","","https://www.apa.org/depression-guideline/patient-health-questionnaire.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychology__intake__apa-org__e3fb5b8853.pdf"
"4fbf7c96","psychology","intake","pdf","36318","apa.org","mine-page","","","https://www.apa.org/depression-guideline/reminiscence-functions-scale.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychology__intake__apa-org__4fbf7c96a7.pdf"
"94337526","psychiatry","intake","pdf","45272","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/history/CAP_Intake_Form_1v2.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__9433752654.pdf"
"ad6fd519","psychiatry","intake","pdf","535763","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/history/CAP_Intake_Form_3.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__ad6fd51984.pdf"
"20ad88eb","psychiatry","intake","pdf","545142","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/history/CAP_Intake_Form_2.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__20ad88eb55.pdf"
"5cc32a6a","psychiatry","intake","pdf","469552","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/history/CAP_Practice_Telephone_Intake.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__5cc32a6a97.pdf"
"0f1e63d5","psychiatry","intake","pdf","1078025","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/symptoms/CMRS-P_PBD%20Screener.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__0f1e63d5c2.pdf"
"110d9d50","psychiatry","intake","pdf","421560","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/symptoms/GLAD-PC_PHQ-9.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__110d9d50fa.pdf"
"94f8ad1b","psychiatry","intake","pdf","566657","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/symptoms/NICHQ_Vanderbilt_Assessment_Scale-PARENT-Informant.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__94f8ad1bdc.pdf"
"77d676b7","psychiatry","intake","pdf","276496","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/symptoms/NICHQ_Vanderbilt_Assessment_Follow_Up-PARENT-Informant.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__77d676b77e.pdf"
"f6a50250","psychiatry","intake","pdf","276535","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/symptoms/NICHQ_Vanderbilt_Assessment_Scale-TEACHER-Informant.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__f6a5025060.pdf"
"59956fc5","psychiatry","intake","pdf","276538","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/symptoms/NICHQ_Vanderbilt_Assessment_Follow_Up-TEACHER-Informant.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__59956fc538.pdf"
"64c450fd","psychiatry","intake","pdf","25812","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/medication/med_consent_benzodiazepines_alpha_agonist.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__64c450fddc.pdf"
"332373de","psychiatry","intake","pdf","27198","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/medication/med_consent_antipsychotics.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__332373de08.pdf"
"df7d5234","psychiatry","intake","pdf","27967","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/medication/med_consent_aripiprazole_depression_anxiety.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__df7d523415.pdf"
"d03367dc","psychiatry","intake","pdf","26360","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/medication/med_consent_atomoxetine.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__d03367dc2e.pdf"
"165e9bd3","psychiatry","intake","pdf","13254","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/medication/med_consent_others.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__165e9bd366.pdf"
"81be0675","psychiatry","intake","pdf","39016","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/medication/med_consent_adderall_stimulants.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__81be0675c6.pdf"
"a06e6bb0","psychiatry","intake","pdf","134298","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/monitoring/AIMS.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__a06e6bb0b4.pdf"
"ab5b10a5","psychiatry","intake","pdf","39998","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/monitoring/medication_side_effects_monitoring.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__ab5b10a591.pdf"
"dbb869a9","psychiatry","intake","pdf","32916","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/monitoring/stimulant_monitoring_form_for_children_and_adolescents.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__dbb869a9bb.pdf"
"02d91145","psychiatry","intake","pdf","42960","aacap.org","mine-page","","","https://www.aacap.org/App_Themes/AACAP/docs/member_resources/toolbox_for_clinical_practice_and_outcomes/sources/MedWatch_Report.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__aacap-org__02d911450a.pdf"
"230419d1","psychiatry","intake","pdf","136646","evolve-psychiatry.com","mine-page","","","https://www.evolve-psychiatry.com/_files/ugd/07726c_d7ebd7d6a26345298ce81f76f5b01671.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__evolve-psychiatry-com__230419d1b4.pdf"
"4d3febd3","psychiatry","intake","pdf","210081","evolve-psychiatry.com","mine-page","","","https://www.evolve-psychiatry.com/_files/ugd/07726c_7cf1c8d1022b4ab6aac1b0bf2826af7b.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__evolve-psychiatry-com__4d3febd37b.pdf"
"f92703ba","psychiatry","intake","pdf","104212","evolve-psychiatry.com","mine-page","","","https://www.evolve-psychiatry.com/_files/ugd/07726c_d545bbda86d949cb86a0624bc5596015.pdf?index=true","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__evolve-psychiatry-com__f92703ba2b.pdf"
"849242d5","psychiatry","intake","pdf","84380","evolve-psychiatry.com","mine-page","","","https://www.evolve-psychiatry.com/_files/ugd/07726c_105c8b799f6b4d4dacc367d04aca50ca.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__evolve-psychiatry-com__849242d592.pdf"
"be4e011c","psychiatry","intake","pdf","123799","evolve-psychiatry.com","mine-page","","","https://www.evolve-psychiatry.com/_files/ugd/07726c_1bdd94191b0845c39c376428652b9e78.pdf?index=true","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__evolve-psychiatry-com__be4e011c9e.pdf"
"d74073cf","psychiatry","intake","pdf","110652","evolve-psychiatry.com","mine-page","","","https://www.evolve-psychiatry.com/_files/ugd/07726c_fb864979343b4e2cb4a19ee56536c4c7.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__evolve-psychiatry-com__d74073cf0a.pdf"
"d5e41e95","psychiatry","intake","pdf","258193","irp.cdn-website.com","mine-page","","","https://irp.cdn-website.com/2bae54a1/files/uploaded/2025_New_Patient_Information_and_Consent_Form_%281%29.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__irp-cdn-website-com__d5e41e95f9.pdf"
"a6e3acbc","psychiatry","intake","pdf","211736","irp.cdn-website.com","mine-page","","","https://irp.cdn-website.com/2bae54a1/files/uploaded/Printable_ROI.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__irp-cdn-website-com__a6e3acbc22.pdf"
"80bc58b3","psychiatry","intake","pdf","111129","irp.cdn-website.com","mine-page","","","https://irp.cdn-website.com/2bae54a1/files/uploaded/Medical_Records_Request_Form.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__irp-cdn-website-com__80bc58b35c.pdf"
"d2ac0478","psychiatry","intake","pdf","126399","irp.cdn-website.com","mine-page","","","https://irp.cdn-website.com/2bae54a1/files/uploaded/Psychotherapy+Note+Release+%281%29.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/psychiatry__intake__irp-cdn-website-com__d2ac04784d.pdf"
"907c7826","geriatrics","prom","pdf","73429","homecaremissouri.org","mine-page","","","https://homecaremissouri.org/projects/falls/documents/Oct2012FINALValidatedFallriskassessmenttool.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/geriatrics__prom__homecaremissouri-org__907c7826dd.pdf"
"d253175b","geriatrics","prom","pdf","251054","geriatrictoolkit.missouri.edu","mine-page","","","https://geriatrictoolkit.missouri.edu/Social-Needs-Screening-Tool-AAFP.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/geriatrics__prom__geriatrictoolkit-missouri-edu__d253175b7e.pdf"
"a56d3c87","fall-risk","prom","pdf","610991","cdc.gov","mine-page","","","https://www.cdc.gov/steadi/media/pdfs/steadi-form-patientreferral-508.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/fall-risk__prom__cdc-gov__a56d3c87f6.pdf"
"1c86f58a","mh-depression","prom","html","200033","mdcalc.com","bing","PHQ-9 patient health questionnaire 9 filetype:pdf","","https://www.mdcalc.com/calc/1725/phq9-patient-health-questionnaire9","/home/jmandel/hobby/intake-forms/raw/html/mh-depression__prom__mdcalc-com__1c86f58ab0.html"
"02e70fa3","mh-depression","prom","pdf","168805","integrationacademy.ahrq.gov","bing","PHQ-9 patient health questionnaire 9 filetype:pdf","","https://integrationacademy.ahrq.gov/sites/default/files/2020-07/PHQ-9.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/mh-depression__prom__integrationacademy-ahrq-gov__02e70fa382.pdf"
"76346f6c","mh-depression","prom","html","163010","hiv.uw.edu","bing","PHQ-9 patient health questionnaire 9 filetype:pdf","","https://www.hiv.uw.edu/page/mental-health-screening/phq-9","/home/jmandel/hobby/intake-forms/raw/html/mh-depression__prom__hiv-uw-edu__76346f6c23.html"
"465d1291","mh-depression","prom","pdf","42017","www2.gov.bc.ca","bing","PHQ-9 patient health questionnaire 9 filetype:pdf","","https://www2.gov.bc.ca/assets/gov/health/practitioner-pro/bc-guidelines/depression_patient_health_questionnaire.pdf","/home/jmandel/hobby/intake-forms/raw/pdf/mh-depression__prom__www2-gov-bc-ca__465d129173.pdf"
